City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
92,Price,US,2021-09-06 19:23:46,39.5994,-110.8107,87.73,17,1,8.05
93,Komsomolskiy,UZ,2021-09-06 19:23:47,40.4272,71.7189,74.12,43,0,6.91
94,Kahului,US,2021-09-06 19:23:47,20.8947,-156.47,79.54,69,40,16.11
95,Sheltozero,RU,2021-09-06 19:23:47,61.3667,35.3667,49.21,71,98,12.15
96,Brae,GB,2021-09-06 19:23:48,60.3964,-1.353,57.11,88,100,15.66
97,Albanel,CA,2021-09-06 19:23:48,48.8832,-72.4487,66.34,72,100,5.75
98,Pisco,PE,2021-09-06 19:23:49,-13.7,-76.2167,66.25,72,0,9.22
99,Port Hardy,CA,2021-09-06 19:23:49,50.6996,-127.4199,57.38,88,90,3.44
100,Coquimbo,CL,2021-09-06 19:23:16,-29.9533,-71.3436,64.13,59,0,13.8
101,Binabalian,PH,2021-09-06 19:23:50,16.4202,119.9279,80.08,80,91,3.0
102,Yellowknife,CA,2021-09-06 19:19:09,62.456,-114.3525,61.32,94,75,9.22
103,Bengkulu,ID,2021-09-06 19:23:51,-3.8004,102.2655,73.69,96,100,6.44
104,Yantikovo,RU,2021-09-06 19:23:51,55.8216,47.9104,38.12,68,86,5.82
105,Cherskiy,RU,2021-09-06 19:23:52,68.75,161.3,34.18,88,100,23.42
106,Pemangkat,ID,2021-09-06 19:23:52,1.1667,108.9667,79.23,83,100,3.44
107,Arman,RU,2021-09-06 19:23:52,59.7,150.1667,44.78,53,34,6.2
108,Avarua,CK,2021-09-06 19:23:53,-21.2078,-159.775,75.25,78,75,10.36
109,Nikolskoye,RU,2021-09-06 19:19:54,59.7035,30.7861,51.69,96,100,5.41
110,Egvekinot,RU,2021-09-06 19:23:53,66.3167,-179.1667,30.74,54,38,3.13
111,Ciudad Bolivar,VE,2021-09-06 19:23:54,8.1222,-63.5497,91.54,49,70,10.07
112,Umm Lajj,SA,2021-09-06 19:23:55,25.0213,37.2685,88.74,57,99,7.99
113,Bethel,US,2021-09-06 19:23:55,41.3712,-73.414,83.1,55,20,4.0
114,Charters Towers,AU,2021-09-06 19:23:55,-20.1,146.2667,58.19,30,29,15.84
115,Clyde River,CA,2021-09-06 19:23:56,70.4692,-68.5914,34.03,80,75,2.3
116,Janauba,BR,2021-09-06 19:23:56,-15.8025,-43.3089,97.39,16,56,7.65
117,Khatanga,RU,2021-09-06 19:23:57,71.9667,102.5,52.32,67,100,7.92
118,Hambantota,LK,2021-09-06 19:23:57,6.1241,81.1185,79.38,83,100,17.47
119,Hay River,CA,2021-09-06 19:23:58,60.8156,-115.7999,62.58,72,75,11.5
120,Alofi,NU,2021-09-06 19:23:58,-19.0595,-169.9187,73.29,100,40,3.44
121,Luderitz,NA,2021-09-06 19:23:58,-26.6481,15.1594,56.23,53,0,25.66
122,Mitu,CO,2021-09-06 19:23:59,1.1983,-70.1733,80.65,91,86,0.85
